,covariates
122,wv_mcd19a2v061.seasconv.m.m07_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
123,wv_mcd19a2v061.seasconv.m.m12_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
124,wv_mcd19a2v061.seasconv.m.m09_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
125,wv_mcd19a2v061.seasconv.m.m12_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
126,wv_mcd19a2v061.seasconv.m.m10_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
127,wv_mcd19a2v061.seasconv.m.m09_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
128,wv_mcd19a2v061.seasconv.m.m11_sd_1km_s_20000101_20221231_go_epsg.4326_v20230619
129,wv_mcd19a2v061.seasconv.m.m11_p50_1km_s_20000101_20221231_go_epsg.4326_v20230619
130,ndvi_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
131,ndwi_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
132,bsi_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
133,ndti_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
134,nirv_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
135,evi_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
136,fapar_glad.SeasConv.ard2_m_30m_s_0101_0228_go_epsg.4326_v20230908
137,ndvi_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
138,ndwi_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
139,bsi_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
140,ndti_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
141,nirv_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
142,evi_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
143,fapar_glad.SeasConv.ard2_m_30m_s_0301_0430_go_epsg.4326_v20230908
144,ndvi_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
145,ndwi_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
146,bsi_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
147,ndti_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
148,nirv_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
149,evi_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
150,fapar_glad.SeasConv.ard2_m_30m_s_0501_0630_go_epsg.4326_v20230908
151,ndvi_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
152,ndwi_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
153,bsi_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
154,ndti_glad.SeasConv.ard2_m_30m_s_0701_0831_go_epsg.4326_v20230908
